Product Name;Price;Pix Price;Description
Dengue - Anticorpos IgG;150;135;Detecta anticorpos de classe IgG contra o virus da Dengue. Esses anticorpos são produzidos tardiamente no curso na doença e, portanto, indicam infecção (ou vacinação) que ocorreu há mais de 15 dias.<br><br>
Dengue - Anticorpos IgM;150;135;Detecta anticorpos de classe IgM contra o virus da Dengue. Esses anticorpos são produzidos precocemente no curso na doença e, portanto, indicam infecção (ou vacinação) que ocorreu há menos de 15 dias <br><br>
Dengue - Antígeno NS1;150;135;Detecta a presença do antígeno NS1 do vírus da Dengue, que é um componente do próprio vírus e, portanto, não depende de resposta imunológica do hospedeiro.. A detecção do NS1 ocorre já nos primeiros dias após o início dos sintomas, sendo útil para o diagnóstico precoce da doença.<br><br>
Zika - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o vírus Zika. Esses anticorpos são produzidos tardiamente durante a infecção e indicam uma infecção passada, que ocorreu geralmente há mais de 15 dias.<br><br>
Zika - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o vírus Zika. Esses anticorpos são produzidos precocemente, geralmente nos primeiros dias após o início dos sintomas, indicando infecção recente/atual pelo vírus.<br><br>
Chikungunya - Anticorpos IgG;200;180;Detecta anticorpos de classe IgG contra o vírus Chikungunya. Esses anticorpos são produzidos depois da primeira semana após o início dos sintomas e indicam infecção passada, podendo ser detectados por toda a vida.<br><br>
Chikungunya - Anticorpos IgM;200;180;Detecta anticorpos de classe IgM contra o vírus Chikungunya. Esses anticorpos são produzidos já após 3 a 4 dias depois do início dos sintomas e permanecem detectáveis por, no máximo, 3-4 meses. Eles são usados, portanto, para diagnosticar infecções atuais/recentes pelo vírus.<br><br>
Febre Amarela - Anticorpos IgG;600;540;Detecta anticorpos de classe IgG contra o vírus da Febre Amarela. Esses anticorpos são produzidos tanto em infecções passadas/resolvidas quanto nas pessoas que receberam vacina. Sua positividade de forma isolada indica que o indivíduo está imune contra o vírus.<br><br>
Febre Amarela - Anticorpos IgM;600;540;Detecta anticorpos de classe IgM contra o vírus da Febre Amarela. Esses anticorpos são produzidos precocemente (em até duas semanas depois do início dos sintomas na infecção e em até uma semana após a vacinação). Em pessoas com suspeita clínica de Febre Amarela, eles podem ser usados para confirmar o diagnóstico da doença.<br><br>
Leptospirose - Anticorpos IgG;200;180;Detecta anticorpos de classe IgG contra a bactéria causadora da Leptospirose. Esses anticorpos indicam infecção passada/resolvida, podendo ser detectados por toda a vida. É importante salientar que várias outras bactérias semelhantes (presentes no ambiente) podem induzir produção de anticorpos semelhantes e, portanto, resultados positivos devem ser confirmados por outros métodos<br><br>
Leptospirose - Anticorpos IgM;200;180;Detecta anticorpos de classe IgM contra a bactéria causadora da Leptospirose. Esses anticorpos são produzidos já após 3 a 10 dias depois do início dos sintomas.. Eles são usados, portanto, para diagnosticar infecções atuais/recentes. Resultados negativos em pessoas com suspeita clínica da doença podem ter que ser repetidos duas semanas após para excluir o diagnóstico.<br><br>
Vírus West Nile - Anticorpos IgM;200;180;Detecta anticorpos de classe IgM contra o vírus West Nile. Esses anticorpos são produzidos depois da 3 a 8 dias após o início dos sintomas e deixam de ser detectáveis, em geral, após 30 a 90 dias. Eles são usados para o diagnóstico de infecção recente/atual em pessoas com suspeita clínica da doença.<br><br>
Vírus West Nile - Anticorpos IgG;200;180;Detecta anticorpos de classe IgG contra o vírus Zika. Esses anticorpos são produzidos tardiamente durante a infecção e indicam uma infecção passada, que ocorreu geralmente há mais de 15 dias.<br><br>
HIV - 3a geração;100;90;"Exame usado para o diagnóstico da infecção pelo HIV por meio da detecção de anticorpos totais circulantes. Esses anticorpos são produzidos após, no mínimo, 4 semanas da infecção e, portanto, a realização do exame deve respeitar esse período de ""janela"". Em caso de suspeita de infecção recente, testes de quarta geração devem ser usados. Ele tem especificidade >99%, ou seja, tem menos de 0,1% de falsos positivos. Em caso de positividade, outro teste é utilizado na mesma amostra para confirmar o diagnóstico.<br><br>"
HIV - 4a geração;150;135;Exame usado para o diagnóstico da infecção pelo HIV por meio da detecção de anticorpos E ANTÍGENOS circulantes. A detecção de antígenos permite que o período de janela seja abreviado. Em caso de exposições recentes, espera-se que exames de quarta geração já se tornem positivos após 15 dias da infecção. Ele tem especificidade superior a 99%, ou seja, apresenta menos de 0,1% de falsos positivos.<br><br>
Hepatite C - Anticorpos Totais;100;90;Exame usado para o diagnóstico de hepatite C. Os anticorpos totais contra o vírus da hepatite C são produzidos depois de 2-3 meses da infecção e permanecem detectáveis por toda a vida (mesmo após a cura da infecção, por exemplo). Por causa disso, em caso de positividade, é necessária a realização de exames de biologia molecular que buscam o RNA do vírus para diferenciar casos de infecção crônica/atual de casos de infecção passada/resolvida.<br><br>
Hepatite B - Antígeno de Superfície;100;90;Exame usado para o diagnóstico hepatite B. O antígeno de superfície do vírus da hepatite B pode ser encontrado no sangue após 6-60 dias da infecção e permanece detectável enquanto o vírus estiver presente no organismo. Em se tratando de um antígeno, ou seja, uma parte do próprio vírus, ele não depende de resposta imunológica do hospedeiro. Além de ajudar em casos suspeitos de hepatite B aguda ou crônica, o exame também pode ser usado para monitorar o tratamento da doença.<br><br>
Sífilis - Anticorpos Totais;100;90;Exame usado para o diagnóstico de Sífilis. Os anticorpos totais treponêmicos (ou seja, aqueles que são dirigidos especificamente contra a bactéria causados da Sífilis) são produzidos entre 3 e 6 semanas após a infecção e permanecem positivos para toda a vida (mesmo após a cura). Eles são usados para a investigação de casos suspeitos de sífilis e, caso sejam positivos, tornam necessários outros exames para diferenciar infecções ativas/atuais de infecções resolvidas.<br><br>
Clamídia - Antígeno;240;216;Exame usado para diagnóstico de infecção pela bactéria Chlamydia trachomatis. Nos seres humanos, essa é uma infecção de transmissão sexual que pode causar desde uretrite até infecções pélvicas profundas e infertilidade. Porém, a maioria dos casos não tem sintomas e, então é importante realizar o exame de forma preventiva, já que se trata de uma infecção que tem cura.<br><br>
Gonorreia - Antígeno;240;216;Exame usado para o diagnóstico de infecção pela bactéria Neisseria gonorrhea. Essa é uma infecção sexualmente transmissível que pode causar sintomas restritos ao trato genital (como corrimento uretral) ou, até, infecção generalizada. O tratamento oportuno e correto alivia os sintomas, previne complicações e impede a transmissão.<br><br>
MPOX - Antígeno;250;225;Exame usado como ferramenta auxiliar no diagnóstico de casos humanos de infecção pelo vírus MPOX (previamente conhecido como Monkeypox). Ele detecta fragmentos do vírus diretamente no material analisado. Em caso de positividade, é necessária a confirmação por métodos moleculares.<br><br>
MPOX - Anticorpos IgG;200;180;Detecta anticorpos de classe IgG contra o vírus MPOX (previamente conhecido como Monkeypox). Esses anticorpos são produzidos tanto após infecção natural quanto após vacinação e permanecem positivos pela vida toda.<br><br>
MPOX - Anticorpos IgM;200;180;Detecta anticorpos de classe IgM contra o vírus MPOX (previamente conhecido como Monkeypox). Esses anticorpos são produzidos tanto após infecção natural quanto após vacinação e seus níveis decaem após 30-60 dias. Eles são usados como ferramentas auxiliares no diagnóstico de infecções recentes/atuais.<br><br>
HSV1 - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o vírus Herpes Simples do tipo 1. Esses anticorpos, quando positivos isoladamente, indicam infecção passada com imunidade atual, podendo ser detectados por toda a vida.<br><br>
HSV1 - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o vírus Herpes Simples do tipo 1. Em pessoas com suspeita clínica de doença causada pelo HSV1 (como úlceras orais, por exemplo) esses anticorpos podem indicar infecção aguda/recente e ajudar a confirmar o diagnóstico.<br><br>
HSV2 - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o vírus Herpes Simples do tipo 2 (herpes genital). Esses anticorpos, quando positivos isoladamente, indicam infecção passada com imunidade atual, podendo ser detectados por toda a vida.<br><br>
HSV2 - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o vírus Herpes Simples do tipo 2 (herpes genital). Em pessoas com suspeita clínica de doença de transmissão sexual causada pelo HSV2 (como úlceras genitais, por exemplo) esses anticorpos podem indicar infecção aguda/recente e ajudar a confirmar o diagnóstica.<br><br>
CMV - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o Citomegalovírus. Esses anticorpos, quando positivos isoladamente, indicam infecção passada com imunidade atual, podendo ser detectados por toda a vida.<br><br>
CMV - Anticorpos IgM;180;162;Detecta anticorpos de classe IgM contra o Citomegalovírus. Em pessoas com suspeita clínica de doença causada pelo HSV1 (como febre prolongada com linfonodomegalias e/ou lesões oculares, por exemplo) esses anticorpos podem indicar infecção aguda/recente e ajudar a confirmar o diagnóstico.<br><br>
Toxoplasmose - Anticorpos IgG;180;162;Detecta anticorpos de classe IgG contra o parasita causador da Toxoplasmose. Esses anticorpos, quando positivos isoladamente, indicam infecção passada e latente, podendo ser detectados por toda a vida.<br><br>
